,1.1.1,1.1.10,1.1.11,1.1.12,1.1.13,1.1.14,1.1.15,1.1.2,1.1.3,1.1.4,1.1.5,1.1.6,1.1.7,1.1.8,1.1.9,1.2.1,1.2.10,1.2.11,1.2.12,1.2.13,1.2.14,1.2.15,1.2.2,1.2.3,1.2.4,1.2.5,1.2.6,1.2.7,1.2.8,1.2.9,0.0.0,0.0,1.1,1.10,1.11,1.12,1.13,1.14,1.15,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.10,2.11,2.12,2.13,2.14,2.15,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9
2.10,-19647.21474806916,-19089.35708739478,-24954.82589808667,-22167.096669172217,-17387.075967997713,-18205.138502103233,-21455.22565957702,-23953.941213407634,-19814.630138972287,-15849.699999999988,-23734.600435728367,-15583.699999999984,-19185.00244504393,-20025.64836690801,-17038.133582830495,-23723.805506412682,-16266.49999999999,-20706.794155071082,-17690.88213032191,-23217.26474492829,-18907.099761324596,-18812.445579218547,-23446.620395926457,-16298.249999999985,-19076.351692978456,-24230.04383624318,-16816.899669560964,-19275.120861433614,-23173.024390930208,-20127.38839000531,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.11,-16174.249999999987,-18757.46879281414,-20301.52792931903,-19297.649999965306,-23004.120530746393,-19552.764169905557,-18301.449999999993,-20695.08884232492,-15721.949999999992,-21932.25922899038,-21162.78984654308,-20574.968791836745,-19153.199999999986,-20138.046251136486,-21451.48555619142,-24513.249672961363,-17043.499997184776,-21627.451547212368,-23011.68959521154,-20198.162743757508,-23230.099996969126,-19585.642667415625,-19878.649999686593,-20096.189103183548,-20696.995596740093,-20149.399516096564,-19933.713354950934,-24372.289859175296,-24714.226248996038,-24996.021851470272,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.12,-24526.41095966886,-18677.61900090754,-23541.035578950854,-18621.649999999998,-20799.223494311766,-20987.490683417596,-20024.449999999986,-16022.29999999999,-17547.94928557734,-19712.07150892628,-23736.856032697597,-22636.44392988793,-23819.19999489889,-21031.29259024449,-17917.239717789365,-24735.249999909785,-16068.499999999998,-24071.361902564495,-16923.949999999983,-25165.720066726724,-23140.099999995822,-19079.893153982946,-25362.64997604288,-17199.24999999999,-19908.99934380425,-20320.399999999998,-16209.899999999992,-15894.149999999985,-22690.23973323308,-21693.149995675423,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.13,-17413.249217429457,-15976.660388922854,-25671.255677258305,-17856.649999930043,-15770.649999999983,-17712.399982870742,-18429.449999999335,-22166.42940095447,-17491.23686462995,-18997.287865844588,-17794.89999454028,-19440.56704790021,-24848.801111065397,-15946.799999999997,-15636.349999999997,-18629.249996541956,-23899.15882499455,-17357.649999999972,-19664.520141850786,-15971.399999999989,-19835.099433108357,-18889.929745107318,-19193.634051389618,-16732.24999999998,-18528.48253722622,-20793.274257869478,-20219.493776285955,-21002.983389417193,-16747.249999999312,-20667.07642762714,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.14,-18832.98832571635,-17385.722471768564,-23869.153096254504,-19846.61704046181,-16542.636080793658,-22490.089836989373,-25425.448652580766,-19027.395225278935,-18519.411926126402,-20553.738970418413,-18126.89984391824,-19096.64007306564,-20607.199594990474,-16245.799999999994,-21651.334229808006,-18770.24999999997,-21056.945890981515,-15983.649999999992,-18119.82564287612,-23193.8177726074,-18838.099999999904,-16994.91767715109,-16803.649999999976,-23407.558200258933,-23782.213159435018,-22062.391388657095,-16673.899999999972,-18082.401488270058,-23466.047736005046,-19235.134523184377,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.15,-18225.808641593103,-17462.47010482591,-19020.750364027037,-24834.07134344401,-18594.0789167239,-20915.753214306766,-24094.931780746152,-15540.300000000001,-24328.701243843032,-19297.706303792937,-24917.679622272575,-22118.80463126777,-20513.686450577316,-16815.79970439021,-18159.8268278943,-20931.22732912498,-24394.463209447433,-21124.907701999662,-18709.222954690194,-20958.717267230244,-17581.099999999984,-18071.925854240217,-24375.143214260013,-20147.014735290733,-15809.999999999995,-17936.376083035804,-17508.899995923734,-20970.402801721943,-16052.249999999998,-19563.1104854622,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.2,-24486.10273850436,-19430.01288940809,-22966.63645892756,-25839.414159999076,-20770.18526984768,-21323.132167544976,-17978.44999999999,-18787.094699230263,-20437.925387798634,-20682.237671726307,-18405.89999999999,-21139.341860710174,-24081.19999999998,-20180.373798469496,-18211.157329801776,-19680.24999999997,-20523.637773528284,-22595.593850328492,-19589.14411336772,-18643.39999999999,-23437.09999999998,-17489.69999428982,-24010.649999999976,-24111.057648717084,-21549.40031463399,-20225.399999999998,-17392.899999999987,-22179.768422225716,-19456.249998424595,-22544.149999999998,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.3,-24572.71557227108,-15560.449999999995,-17756.202092253865,-18671.297192813803,-21983.38870288805,-19154.659780194663,-18472.022421431735,-25130.153028949648,-16698.669573339022,-15738.699999999984,-25438.870210120556,-24237.312148317873,-20759.572569229927,-25433.741316103988,-16083.178217455468,-18644.025037032992,-20885.661036542857,-15876.649999999985,-21810.088359728637,-22873.956097437942,-26004.209519043914,-19923.299559985448,-23250.904544067504,-19058.708753920662,-20685.363399730082,-19534.384571940373,-18780.16836820323,-19412.077654553006,-23445.982771114453,-16017.148994253306,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.4,-19326.244287924455,-17467.831470188947,-21687.8424053001,-17054.64999999998,-18716.87004662992,-22978.89895525939,-21267.449999999553,-23154.58595648291,-18033.73896911128,-22092.935848581008,-17065.89999999998,-18951.330586556887,-17657.19999999999,-15887.800000000001,-15951.349999999997,-25736.249999474436,-19730.512133241482,-17576.649999999987,-19345.738147437583,-20886.719565270763,-22097.09999999998,-21078.229800449022,-20531.649999999998,-19047.174726705358,-23816.790600731874,-18223.39999999999,-22804.64893573931,-20389.255543754538,-20483.333011733932,-21492.149998909867,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.5,-22213.125435695045,-17413.545934247057,-20963.164169073978,-20203.578537505524,-15504.649999999996,-16222.399999999992,-25451.419681986463,-20148.814176736254,-22004.427721620723,-24691.324304247864,-17375.89999999998,-15858.699999999984,-21750.118441742357,-20946.053178919883,-24952.593519210233,-19112.249999988508,-22046.69251496482,-21891.312148009314,-24722.138994714227,-21381.081942491714,-23105.077646928148,-20723.794741378093,-22604.275072947363,-19968.575176026225,-20634.833176702254,-18095.399999999987,-22381.017074429867,-16462.14999999998,-22827.703658559105,-20267.13699107742,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.6,-16834.24999999999,-15792.105781965924,-21574.93810429843,-22431.647120702837,-21512.064098505096,-23863.98098844425,-22689.449999999986,-19351.474175733016,-17433.041272698065,-22274.42630643333,-16913.899999999972,-16364.699999877685,-17468.199999999975,-19834.715737159673,-24703.40917592162,-24831.24999928645,-15651.49999999999,-22956.059577360502,-19503.93482248273,-22189.397354597397,-22834.09999999632,-23223.654145965033,-22620.649999999852,-20226.249994903006,-23384.605306707635,-21374.399999999976,-24267.77231122691,-15785.149999999989,-17536.249999999938,-24112.149903801495,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
